product_link,badge,ingredient,brand,country,rating,count,recommend
https://www.ocado.com/products/innocent-kids-apples-blackcurrants-smoothies-29362011,Suitable for vegetarians,"1 Pressed Apple (70%), 1/3 of a Mashed Banana**, 4 Pressed Grapes, 8 Squashed Blackcurrants (4%), **Rainforest Alliance Certified™Dietary InformationNo Added Sugar",Innocent,UK,4.6,21,96
https://www.ocado.com/products/daylesford-organic-10-hour-chicken-bone-broth-with-lemongrass-red-chilli-502753011,Organic,NA,DAYLESFORD ORGANIC,UK,4.2,60,77
https://www.ocado.com/products/m-s-celeriac-518566011,Suitable for vegetarians,NA,M&S,NA,3.7,41,69
https://www.ocado.com/products/m-s-orange-mango-passion-fruit-juice-528691011,NA,"Orange Juice (69%), Mango Purée (26%), Passion Fruit Juice (5%)",M&S,Spain,3.8,17,77
https://www.ocado.com/products/m-s-fully-loaded-shawarma-552762011,NA,"Chicken Legs (77%), Water, Lemon and Garlic Yogurt Dressing (6%), Ground Spices (Cumin, Smoked Paprika, Cinnamon, Cayenne Pepper, Black Pepper, Star Anise, Allspice, Nutmeg, Cloves, Coriander Seeds, Ginger), Ginger Purée, Sugar, Garlic Purée, Salt, Lemon Juice, Extra Virgin Olive Oil (0.5%), Dried Garlic, Preserved Lemons (Lemon Peel, Sea Salt, Preservative: E223 (Sulphites)), Dried Herbs (Bay Leaves, Mint, Basil, Parsley), Dried Onions, Sea Salt, Black Onion Seeds, Dried Red Peppers, Dried Red Chillies, Sunflower Oil, Lemon and Garlic Yogurt Dressing contains Greek Style Yogurt (Milk), Water, Lemon Juice, Sugar, Garlic Purée, Rapeseed Oil, Cornflour, White Wine Vinegar, Lemon Zest, Salt, ParsleyAllergen InformationContains Milk, Contains Sulphur Dioxide/Sulphites",M&S,United Kingdom,4.4,108,86
https://www.ocado.com/products/gosh-beetroot-kale-burgers-with-a-hint-of-mint-551737011,"Suitable for freezing, Suitable for vegetarians","Chickpeas^1 (26%), Beetroot^2 (22%), Courgette (7%), Carrot (7%), Potato Flake, Kale (6%), Red Onion, Quinoa (5%), Rapeseed Oil, Mint^3, Coriander, Garlic Puree (Water, Garlic Granules), Salt, (^1,2,3 Origin: EU and non-EU)Allergen InformationFree From Eggs, Free From Milk, Free From Nuts, Free From SoyaDietary InformationSuitable for Vegans; Kosher; Gluten free",Gosh,United Kingdom,3.9,18,78
https://www.ocado.com/products/carte-noire-no-5-decafeine-nespresso-compatible-370623011,"Suitable for freezing, Suitable for vegetarians",NA,Carte Noire,NA,3.4,31,59
https://www.ocado.com/products/m-s-select-farms-british-10-smoked-back-bacon-rashers-502801011,Suitable for freezing,"British Pork (86%), Water (10%), Curing Salt (Salt, Preservative: Sodium Nitrite, Potassium Nitrate)",M&S,UK,3.4,14,65
https://www.ocado.com/products/murgella-burrata-468879011,Suitable for vegetarians,"Pasteurized Cow's Milk, UHT Cream (min. 35%), Whey Starter Culture, Salt, Microbial RennetAllergen InformationContains MilkDietary InformationSuitable for Vegetarians",Murgella,Italy,3.3,32,57
https://www.ocado.com/products/soupologie-super-soup-spinach-kale-with-garlic-244840011,"Suitable for the microwave, Suitable for vegetarians","Water, Spinach (17%), Leeks, Onions, Kale (6%), Potatoes, Rapeseed Oil, Garlic (1%), Vegetable Stock¹, Salt, Nutmeg, Black Pepper.¹Rice Flour*, Sea Salt, Maltodextrin from Maize*, Vegetables 8.3% (Onion, Carrot, Parsnip, Pumpkin)*, Yeast Extract, Sunflower Oil*, Turmeric*, Mushrooms (White Mushrooms, Shiitake)*, Parsley*, Concentrated Vegetable Juice (Onion, Carrot)*, Lovage*, Garlic*, Fennel Seeds*. *Organically grown ingredients.Allergen InformationFree-from the 14 main allergens.Dietary Information No added sugars. Suitable for vegans. Free-From the 14 Main Allergens. Gluten free. Lactose free. Dairy free. Plant Based. 2 of your 5-A-Day. Source of Protein. Source of Fibre.  Source of Vitamin C & Folate. No Palm Oil. Contains no genetically modified material. Low in fat. Low in saturates. Low in sugars. Low in salt. Low in calories.",Soupologie,NA,3.3,127,58
